Username,Total Experience,Level Experience,Level
Laxinum,1025,191,4
ChrysTV,1025,172,4
KyngDumbinate,1024,153,4
AirBreathMan,1023,152,4
EmooPlays,1021,151,4
Krushka27,1020,132,4
ImLyme,1019,48,5
GamingGamerGirl,1018,134,4
Big_Yoshee,1018,61,5
nora_is_live,1017,44,5
Param_456,1016,298,5
Valoof,1015,133,4
Dino___,1014,148,4
BubblesTheFriend,1013,41,5
absoe,1013,148,4
13Bubby,1013,128,4
Xaderr,1013,49,5
guideee,1013,34,5
wewy_,1011,293,5
Rohan2202,1010,128,4
shleave,1008,36,5
AceOfClovers_,1007,122,4
fischglas,1007,226,4
1tz_st0rmy,1006,288,5
Kayahaa,1004,160,4
bleakpizza,1003,125,4
StezeyMC,1003,203,4
NedYa_YT,1003,118,4
TSTristan,1002,118,4
SUPERS0NIC38,1000,36,5
woahtj,999,166,4
BoatBuilderIzaq,997,37,5
BlueKnight9690,997,139,4
unleashed7863,991,204,4
destroyer_KD,991,210,4
mrgogg,989,9,5
HoodieDuck_,989,24,5
MochaCoderDX,988,106,4
PerHex,988,27,5
ZakhailoMudryk,987,269,5
_Pretze1,986,27,5
SpudMunch3r,985,93,4
ryryy27_,985,107,4
snodmystaahh,984,190,4
JustGlitch_,980,103,4
_4B_,978,260,5
lilmac426,976,109,4
Deliryia,975,71,4
AquaDragon360,975,86,4
JustIgloo,974,122,4
darkleonard2,974,92,4
Vic_YT,973,77,4
TheCr1tz,972,11,5
Spy_Games,971,253,5
AzOMatic,970,5,5
Nufuli_,968,250,5
shotobai,967,249,5
staankoviica05,967,102,4
OrliixLovesKevin,966,248,5
Lihtyy,964,100,4
Fymada,963,86,4
_Loqan_,961,91,4
ItzPine79,961,243,5
IdkaNameS,960,169,4
Chxotic_Max,958,101,4
Archeol,958,80,4
Jaxonlovesyou,954,67,4
syazatha,954,74,4
Konzid,953,187,4
Shroyoo,953,235,5
YoshiBerger,952,200,4
happtCHAD,952,85,4
FractureIllusion,950,135,4
NotHimHAHAHA,950,151,4
Proxpect,949,231,5
Costifox,949,67,4
MonkeCalledMonkz,948,78,4
octwins,946,80,4
TheMikeyikey,943,225,5
KIRI_IGN,940,140,4
Dombers,936,65,4
1Jisu,936,65,4
Jasimoa,935,125,4
AtomicWRLD,935,47,4
ImTwiggy,934,131,4
Timaxes,931,40,4
frostine_,931,213,5
Adwertise,927,31,4
ScoogerVader,926,43,4
greyhere,926,97,4
Vincexy,924,206,5
SquekyBed,923,77,4
Theoppastoppa_,918,200,5
janekvfan1847563,918,38,4
WRUN,917,42,4
HT3fromPinglord,917,56,4
_av3,916,51,4
_ICE_GAME_,913,33,4
NeebwinMakua,913,151,4
schmuglbub,913,28,4
InsomniacCheese,912,44,4
Astrayics,909,52,4
Niks_0,907,18,4
Xelvras,907,189,5
ZZzenlan,907,20,4
guardianbrine,906,137,4
Gyatlord,906,45,4
BladeDuckGaming,906,46,4
PookiePJava,905,14,4
Sn1cy,905,102,4
ToxicBlade09,904,34,4
ToastedBr3dza_,901,251,4
_NinjaDude501,901,183,5
Glaciate101EXE,901,29,4
IBlameDeathOnLag,900,19,4
